re,co,cc,lo,me
METROPOLITANA DE SANTIAGO,PADRE HURTADO,PADRE HURTADO,COLEGIO ALBERTO HURTADO CRUCHAGA BASICA,82
METROPOLITANA DE SANTIAGO,PADRE HURTADO,PADRE HURTADO,COLEGIO SAN CRISTOBAL APOSTOL,2M
METROPOLITANA DE SANTIAGO,PADRE HURTADO,PADRE HURTADO,ESCUELA BASICA SANTA ROSA DE CHENA,16M
METROPOLITANA DE SANTIAGO,PADRE HURTADO,PADRE HURTADO,LICEO BICENTENARIO DE EXCELENCIA PATRICIO MEKIS DE PADRE HURTADO,64
METROPOLITANA DE SANTIAGO,PADRE HURTADO,PADRE HURTADO,LICEO BICENTENARIO DE EXCELENCIA PAUL HARRIS LOCAL: 2,18V
METROPOLITANA DE SANTIAGO,PEÑAFLOR,PEÑAFLOR,ESCUELA EMILIA LASCAR LOCAL: 1,77M
METROPOLITANA DE SANTIAGO,PEÑAFLOR,PEÑAFLOR,COLEGIO INMACULADA CONCEPCIÓN NUESTRA SEÑORA DE LOURDES,29V
METROPOLITANA DE SANTIAGO,PEÑAFLOR,PEÑAFLOR,COLEGIO INMACULADA CONCEPCIÓN NUESTRA SEÑORA DE LOURDES,45V
METROPOLITANA DE SANTIAGO,PEÑAFLOR,PEÑAFLOR,ESCUELA ROSALINA PESCIO VARGAS,13M
METROPOLITANA DE SANTIAGO,PEÑAFLOR,PEÑAFLOR,LICEO MUNICIPALIZADO PEÑAFLOR,72V
METROPOLITANA DE SANTIAGO,TALAGANTE,TALAGANTE,LICEO POLITECNICO C-120 LOCAL: 1,49M
METROPOLITANA DE SANTIAGO,TALAGANTE,TALAGANTE,LICEO TALAGANTE MEDIA LOCAL: 1,4V
METROPOLITANA DE SANTIAGO,TALAGANTE,TALAGANTE,LICEO TALAGANTE MEDIA LOCAL: 1,11V
METROPOLITANA DE SANTIAGO,TALAGANTE,TALAGANTE,LICEO TALAGANTE MEDIA LOCAL: 1,17V
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLTAUCO,COLTAUCO,CASINO PARQUE LOS TACOS,29
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DOÑIHUE,DOÑIHUE,ESCUELA LAURA MATUS MELENDEZ,16
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DOÑIHUE,DOÑIHUE,LICEO CLAUDIO ARRAU,2V
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DOÑIHUE,DOÑIHUE,LICEO CLAUDIO ARRAU,10V
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,GRANEROS,GRANEROS,ESCUELA SIXTO MENDEZ PARADA,14V
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,GRANEROS,GRANEROS,LICEO MUNICIPAL MISAEL LOBOS MONROY,15M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAS CABRAS,LAGO RAPEL (EL MANZANO),ESCUELA CONTRAMAESTRE CONSTANTINO MICALVI,6M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAS CABRAS,LAS CABRAS,ESCUELA ROMILIO ARELLANO TRONCOSO,11V
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MACHALI,MACHALI,COLEGIO GABRIELA MISTRAL,14M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MACHALI,MACHALI,COLEGIO LOS LLANOS,28M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MACHALI,MACHALI,LICEO MACHALI,13V
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MACHALI,MACHALI,LICEO MACHALI,16V
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MACHALI,MACHALI,LICEO MACHALI,20V
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MALLOA,MALLOA,ESCUELA ALCIDES REYES FRIAS ANEXO,15V
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MOSTAZAL,MOSTAZAL,COLEGIO ANDRES BELLO,31
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MOSTAZAL,MOSTAZAL,ESCUELA GABRIELA MISTRAL,13M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PEUMO,PEUMO,ESCUELA ANTONIO DE ZUNIGA ANEXO,4M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHIDEGUA,PICHIDEGUA,LICEO LATINOAMERICANO,8M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHIDEGUA,PICHIDEGUA,LICEO LATINOAMERICANO,13M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,RANCAGUA,COLEGIO AURORA DE CHILE,200V
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,RANCAGUA,COLEGIO JOSE ANTONIO MANSO DE VELASCO,185M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,RANCAGUA,COLEGIO LIBERTADOR SIMON BOLIVAR,137V
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,RANCAGUA,COLEGIO MUNICIPAL EDUARDO DE GEYTER,106M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,RANCAGUA,COLEGIO MUNICIPAL EDUARDO DE GEYTER,124M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,RANCAGUA,ESCUELA MUNICIPAL EL COBRE,140M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,RANCAGUA,ESCUELA MUNICIPAL MARCELA PAZ,36M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,RANCAGUA,ESCUELA MUNICIPAL MARCELA PAZ,42M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,RANCAGUA,LICEO DE NIÑAS,22M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,RANCAGUA,LICEO DE NIÑAS,27M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,RANCAGUA,LICEO INDUSTRIAL ERNESTO PINTO LAGARRIGUE,94V
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,RANCAGUA,LICEO INDUSTRIAL PRESIDENTE PEDRO AGUIRRE CERDA,108V
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,RANCAGUA,LICEO MUNICIPAL JOSE VICTORINO LASTARRIA,56V
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,RANCAGUA,LICEO OSCAR CASTRO ZUNIGA,14V
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,RANCAGUA,LICEO TECNICO DE RANCAGUA,158M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,RANCAGUA,LICEO TECNICO DE RANCAGUA,166M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,RANCAGUA,LICEO TECNICO DE RANCAGUA,167M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,RANCAGUA ORIENTE,COLEGIO SANTA FILOMENA,47
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,RANCAGUA ORIENTE,COLEGIO SANTA FILOMENA,48
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,RANCAGUA ORIENTE,COLEGIO SANTA FILOMENA,49
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,RANCAGUA ORIENTE,COLEGIO SANTA FILOMENA,59
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,RANCAGUA ORIENTE,COLEGIO SANTA FILOMENA,61
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,RANCAGUA ORIENTE,ESCUELA BERNARDO O'HIGGINS,10M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,RANCAGUA ORIENTE,ESCUELA BERNARDO O'HIGGINS,21M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,RENGO,COLEGIO CARLOS CONDELL DE LA HAZA,71
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,RENGO,COLEGIO EL NARANJAL,29V
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,RENGO,COLEGIO LA PAZ,4M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,RENGO,ESCUELA VICENTE HUIDOBRO,74
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,RENGO,LICEO INDUSTRIAL DE RENGO,51M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,RENGO,LICEO LUIS URBINA FLORES,7V
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,RENGO,LICEO ORIENTE,38V
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,ROSARIO,COLEGIO MANUEL FRANCISCO CORREA,3M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUINOA,LOS LIRIOS,ESCUELA REPUBLICA DE FRANCIA,5
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUINOA,REQUINOA,GIMNASIO REQUINOA,34
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUINOA,REQUINOA,LICEO REQUINOA,5V
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUINOA,REQUINOA,LICEO REQUINOA,11V
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN VICENTE,SAN VICENTE,ESCUELA CARMEN GALLEGOS DE ROBLES,19M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN VICENTE,SAN VICENTE,LICEO IGNACIO CARRERA PINTO,18V
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHILEMU,PICHILEMU,ESCUELA DIGNA CAMILO AGUILAR,9V
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHILEMU,PICHILEMU,ESCUELA DIVINO MAESTRO,24
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,CHEPICA,LICEO FERMIN DEL REAL CASTILLO,10M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LOLOL,LOLOL,LICEO MUNICIPAL DE LOLOL,1M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,NANCAGUA,NANCAGUA,COLEGIO PARTICULAR EL PRINCIPITO,12V
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,PALMILLA,ESCUELA MUNICIPAL DE PALMILLA,10M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN FERNANDO,PUENTE NEGRO,ESCUELA CONCENTRACION RURAL SERGIO VERDUGO HERRERA,1M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN FERNANDO,PUENTE NEGRO,ESCUELA CONCENTRACION RURAL SERGIO VERDUGO HERRERA,4
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN FERNANDO,SAN FERNANDO,ESCUELA BASICA ISABEL LA CATOLICA,76M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN FERNANDO,SAN FERNANDO,ESCUELA BASICA ISABEL LA CATOLICA,77M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN FERNANDO,SAN FERNANDO,INSTITUTO COMERCIAL ALBERTO VALENZUELA LLANOS,13M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN FERNANDO,SAN FERNANDO,INSTITUTO COMERCIAL ALBERTO VALENZUELA LLANOS,16M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN FERNANDO,SAN FERNANDO,LICEO DE HOMBRES NEANDRO SCHILLING,12V
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,SANTA CRUZ,ESCUELA MUNICIPAL DE PANIAHUE,43
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,SANTA CRUZ,ESCUELA MUNICIPAL DE PANIAHUE,45
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,SANTA CRUZ,ESCUELA MUNICIPAL DE SANTA CRUZ,12V
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,SANTA CRUZ,ESCUELA MUNICIPAL DE SANTA CRUZ,19V
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,SANTA CRUZ,LICEO MUNICIPAL DE SANTA CRUZ,15M
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,SANTA CRUZ,LICEO MUNICIPAL DE SANTA CRUZ,19M
DEL MAULE,CAUQUENES,CAUQUENES,LICEO ANTONIO VARAS,2V
DEL MAULE,CAUQUENES,CAUQUENES,LICEO ANTONIO VARAS,21V
DEL MAULE,PELLUHUE,PELLUHUE,ESCUELA  GLADYS CANALES PAREDES,10M
DEL MAULE,CURICO,CURICO,ESCUELA REPUBLICA ORIENTAL DEL URUGUAY,176
DEL MAULE,CURICO,CURICO,LICEO ZAPALLAR,145
DEL MAULE,CURICO,LOS NICHES,ESCUELA DIEGO PORTALES P.,27
DEL MAULE,CURICO,LOS NICHES,ESCUELA REPUBLICA ESTADOS UNIDOS,6
DEL MAULE,HUALAÑE,HUALAÑE,LICEO HUALANE,1V
DEL MAULE,HUALAÑE,HUALAÑE,LICEO HUALANE,11V
DEL MAULE,MOLINA,MOLINA,ESCUELA REINO DE DINAMARCA,35M
DEL MAULE,MOLINA,MOLINA,ESCUELA SUPERIOR DE NINAS DE MOLINA,11V
DEL MAULE,MOLINA,MOLINA,LICEO BICENTENARIO DE MOLINA MARIA DEL TRANSITO DE LA CRUZ,18V
DEL MAULE,MOLINA,MOLINA,LICEO BICENTENARIO DE MOLINA MARIA DEL TRANSITO DE LA CRUZ,36V
DEL MAULE,MOLINA,MOLINA,LICEO POLIVALENTE DE MOLINA,12M
DEL MAULE,MOLINA,TRES ESQUINAS,ESCUELA INTERNADO LAS PALMAS TRES ESQUINAS,5
DEL MAULE,RAUCO,RAUCO,ESCUELA RAUCO,11M
DEL MAULE,ROMERAL,ROMERAL,LICEO ARTURO ALESSANDRI PALMA,22
DEL MAULE,SAGRADA FAMILIA,SAGRADA FAMILIA,ESCUELA DE EDUCACION GENERAL BASICA MONSENOR ENRIQUE CORNEJO,16M
DEL MAULE,SAGRADA FAMILIA,SAGRADA FAMILIA,LICEO POLIVALENTE SAGRADA FAMILIA,12V
DEL MAULE,SAGRADA FAMILIA,VILLA PRAT,ESCUELA VILLA PRAT,6
DEL MAULE,VICHUQUEN,VICHUQUEN,LICEO NUEVO HORIZONTE,3V
DEL MAULE,COLBUN,COLBUN,GIMNASIO MUNICIPAL,21V
DEL MAULE,COLBUN,COLBUN,LICEO CAPITAN IGNACIO CARRERA PINTO,9V
DEL MAULE,LINARES,LINARES,COLEGIO MARGOT LOYOLA PALACIOS,82V
DEL MAULE,LINARES,LINARES,ESCUELA ALEJANDRO GIDI,34V
DEL MAULE,LINARES,LINARES,ESCUELA RAMON BELMAR SALDIAS,124
DEL MAULE,LINARES,LINARES,ESCUELA RAMON BELMAR SALDIAS,127
DEL MAULE,LINARES,LINARES,LICEO POLITECNICO DE LINARES,50M
DEL MAULE,LINARES,LINARES,LICEO POLITECNICO DE LINARES,55M
DEL MAULE,LINARES,LINARES,LICEO VALENTIN LETELIER,13V
DEL MAULE,LINARES,LINARES,LICEO VALENTIN LETELIER,17V
DEL MAULE,LONGAVI,LONGAVI,COLEGIO ABATE MOLINA,30V
DEL MAULE,LONGAVI,LONGAVI,LICEO ARTURO ALESSANDRI PALMA,15V
DEL MAULE,PARRAL,CATILLO,COLEGIO ALBERTO MOLINA CASTILLO,2M
DEL MAULE,SAN JAVIER,SAN JAVIER,ESCUELA GERONIMO LAGOS LISBOA,57
DEL MAULE,VILLA ALEGRE,VILLA ALEGRE,ESCUELA TIMOTEO ARAYA ALEGRIA,17M
DEL MAULE,VILLA ALEGRE,VILLA ALEGRE,LICEO FRANCISCO ANTONIO ENCINA ARMANET,6V
DEL MAULE,YERBAS BUENAS,YERBAS BUENAS,ANEXO LICEO JUAN DE DIOS PUGA,12V
DEL MAULE,YERBAS BUENAS,YERBAS BUENAS,ANEXO LICEO JUAN DE DIOS PUGA,16V
DEL MAULE,YERBAS BUENAS,YERBAS BUENAS,ANEXO LICEO JUAN DE DIOS PUGA,19V
DEL MAULE,YERBAS BUENAS,YERBAS BUENAS,ANEXO LICEO JUAN DE DIOS PUGA,20V
DEL MAULE,YERBAS BUENAS,YERBAS BUENAS,ESCUELA AGRICOLA MARTA MARTINEZ CRUZ,2V
DEL MAULE,CONSTITUCION,CONSTITUCION,ESCUELA ENRIQUE DONN MULLER,9M
DEL MAULE,CONSTITUCION,CONSTITUCION,INSTITUTO POLITECNICO SUPERIOR EGIDIO ROZ,35M
DEL MAULE,CONSTITUCION,CONSTITUCION,LICEO CONSTITUCION,11V
DEL MAULE,EMPEDRADO,EMPEDRADO,LICEO SAN IGNACIO,1M
DEL MAULE,EMPEDRADO,EMPEDRADO,LICEO SAN IGNACIO,5V
DEL MAULE,EMPEDRADO,EMPEDRADO,LICEO SAN IGNACIO,8V-9
DEL MAULE,MAULE,DUAO,ESCUELA RURAL DUAO,1
DEL MAULE,MAULE,DUAO,ESCUELA RURAL DUAO,3
DEL MAULE,MAULE,DUAO,ESCUELA RURAL DUAO,10
DEL MAULE,MAULE,MAULE,ESCUELA MAULE,12V
DEL MAULE,PENCAHUE,PENCAHUE,COMPLEJO EDUCACIONAL PENCAHUE,11M
DEL MAULE,PENCAHUE,PENCAHUE,COMPLEJO EDUCACIONAL PENCAHUE,2V
DEL MAULE,PENCAHUE,PENCAHUE,COMPLEJO EDUCACIONAL PENCAHUE,5V
DEL MAULE,SAN CLEMENTE,SAN CLEMENTE,COLEGIO CLEMENTINOS,34M
DEL MAULE,SAN CLEMENTE,SAN CLEMENTE,COLEGIO CLEMENTINOS,35M
DEL MAULE,SAN CLEMENTE,SAN CLEMENTE,ESCUELA ARTURO PRAT CHACON,28M
DEL MAULE,SAN CLEMENTE,SAN CLEMENTE,ESCUELA ARTURO PRAT CHACON,29M
DEL MAULE,SAN CLEMENTE,SAN CLEMENTE,ESCUELA PASO INTERNACIONAL PEHUENCHE,61
DEL MAULE,SAN CLEMENTE,SAN CLEMENTE,ESCUELA SAN CLEMENTE,1V
DEL MAULE,SAN CLEMENTE,SAN CLEMENTE,ESCUELA SAN CLEMENTE,3V
DEL MAULE,SAN CLEMENTE,SAN CLEMENTE,ESCUELA SAN CLEMENTE,19V
DEL MAULE,SAN CLEMENTE,SAN CLEMENTE,LICEO SAN CLEMENTE ENTRE RIOS,9M
DEL MAULE,TALCA,TALCA,ESCUELA CARLOS SPANO,80M
DEL MAULE,TALCA,TALCA,ESCUELA ESPERANZA,103V
DEL MAULE,TALCA,TALCA,ESCUELA JOSE M. BALMACEDA Y FERNANDEZ,290
DEL MAULE,TALCA,TALCA,ESCUELA JOSE M. BALMACEDA Y FERNANDEZ,299
DEL MAULE,TALCA,TALCA,ESCUELA JOSE M. BALMACEDA Y FERNANDEZ,306
DEL MAULE,TALCA,TALCA,ESCUELA PROSPERIDAD,19M
DEL MAULE,TALCA,TALCA,ESCUELA VILLA CULENAR,238
DEL MAULE,TALCA,TALCA,INSTITUTO SUPERIOR DE COMERCIO ENRIQUE MALDONADO ,218
DEL MAULE,TALCA,TALCA,LICEO ABATE MOLINA,171M
DEL MAULE,TALCA,TALCA,LICEO DE CULTURA Y DIFUSION ARTISTICA,129V
DEL MAULE,TALCA,TALCA,LICEO DIEGO PORTALES,46M
DEL MAULE,TALCA,TALCA,LICEO DIEGO PORTALES,52M
DEL MAULE,TALCA,TALCA,LICEO DIEGO PORTALES,61M
DEL MAULE,TALCA,TALCA,LICEO HECTOR PEREZ BIOTT,33V
DEL MAULE,TALCA,TALCA,LICEO HECTOR PEREZ BIOTT,35V
DEL MAULE,TALCA,TALCA,LICEO TECNICO AMELIA COURBIS,22V
DEL MAULE,TALCA,TALCA,UNIVERSIDAD AUTONOMA DE CHILE,106M
DE Ã‘UBLE,BULNES,BULNES,COLEGIO SAN ESTEBAN DE BULNES - ANEXO BASICA,4M
DE Ã‘UBLE,BULNES,BULNES,COLEGIO SAN ESTEBAN DE BULNES - ANEXO BASICA,24V
DE Ã‘UBLE,BULNES,BULNES,LICEO MANUEL BULNES,8V
DE Ã‘UBLE,BULNES,BULNES,LICEO MANUEL BULNES,20V
DE Ã‘UBLE,BULNES,BULNES,LICEO SANTA CRUZ DE LARQUI,6M
DE Ã‘UBLE,BULNES,BULNES,LICEO SANTA CRUZ DE LARQUI,20M
DE Ã‘UBLE,BULNES,SANTA CLARA,ESCUELA EL PALPAL DE SANTA CLARA,3V
DE Ã‘UBLE,CHILLAN,CHILLAN,COLEGIO CONCEPCION DE CHILLAN ,91V
DE Ã‘UBLE,CHILLAN,CHILLAN,COLEGIO CREACION CHILLAN,163M
DE Ã‘UBLE,CHILLAN,CHILLAN,COLEGIO DE LA PURISIMA CONCEPCION,67M
DE Ã‘UBLE,CHILLAN,CHILLAN,COLEGIO DE LA PURISIMA CONCEPCION,72M
DE Ã‘UBLE,CHILLAN,CHILLAN,COLEGIO POLIVALENTE PADRE ALBERTO HURTADO,79V
DE Ã‘UBLE,CHILLAN,CHILLAN,COLEGIO POLIVALENTE PADRE ALBERTO HURTADO,81V
DE Ã‘UBLE,CHILLAN,CHILLAN,COLEGIO POLIVALENTE PADRE ALBERTO HURTADO,87V
DE Ã‘UBLE,CHILLAN,CHILLAN,COLEGIO SAN BUENAVENTURA,59M
DE Ã‘UBLE,CHILLAN,CHILLAN,COLEGIO SAN BUENAVENTURA,65M
DE Ã‘UBLE,CHILLAN,CHILLAN,COLEGIO SAN VICENTE DE PAUL,37M
DE Ã‘UBLE,CHILLAN,CHILLAN,COLEGIO SAN VICENTE DE PAUL,44M
DE Ã‘UBLE,CHILLAN,CHILLAN,COLEGIO SEMINARIO PADRE ALBERTO HURTADO,171M
DE Ã‘UBLE,CHILLAN,CHILLAN,DEUTSCHE SCHULE CHILLAN,241
DE Ã‘UBLE,CHILLAN,CHILLAN,ESCUELA BASICA JUAN MADRID AZOLAS,141V
DE Ã‘UBLE,CHILLAN,CHILLAN,ESCUELA BASICA REYES DE ESPAÑA,161V
DE Ã‘UBLE,CHILLAN,CHILLAN,ESCUELA BASICA ROSITA O'HIGGINS RIQUELME,149V
DE Ã‘UBLE,CHILLAN,CHILLAN,ESCUELA BASICA ROSITA O'HIGGINS RIQUELME,156V
DE Ã‘UBLE,CHILLAN,CHILLAN,ESCUELA REPUBLICA DE MEXICO,96M
DE Ã‘UBLE,CHILLAN,CHILLAN,ESCUELA REPUBLICA DE MEXICO,98M
DE Ã‘UBLE,CHILLAN,CHILLAN,INSTITUTO INDUSTRIAL SUPERIOR DE CHILLAN,32V
DE Ã‘UBLE,CHILLAN,CHILLAN,INSTITUTO INDUSTRIAL SUPERIOR DE CHILLAN,36V
DE Ã‘UBLE,CHILLAN,CHILLAN,INSTITUTO SANTA MARIA,114M
DE Ã‘UBLE,CHILLAN,CHILLAN,LICEO MARTIN RUIZ DE GAMBOA,65V
DE Ã‘UBLE,CHILLAN,CHILLAN,LICEO NARCISO TONDREAU - SECTOR MEDIA,9M
DE Ã‘UBLE,CHILLAN VIEJO,CHILLAN VIEJO,COLEGIO DARIO SALAS,4M
DE Ã‘UBLE,CHILLAN VIEJO,CHILLAN VIEJO,COLEGIO DARIO SALAS,16M
DE Ã‘UBLE,CHILLAN VIEJO,CHILLAN VIEJO,COLEGIO DARIO SALAS,19M
DE Ã‘UBLE,CHILLAN VIEJO,CHILLAN VIEJO,COLEGIO DARIO SALAS,20M
DE Ã‘UBLE,CHILLAN VIEJO,CHILLAN VIEJO,COLEGIO DARIO SALAS,23M
DE Ã‘UBLE,CHILLAN VIEJO,CHILLAN VIEJO,LICEO TOMAS LAGO,37
DE Ã‘UBLE,EL CARMEN,EL CARMEN,ESCUELA VIRGEN DEL CARMEN,7V
DE Ã‘UBLE,EL CARMEN,EL CARMEN,LICEO POLIVALENTE JUVENAL HERNANDEZ JAQUE,12M
DE Ã‘UBLE,EL CARMEN,EL CARMEN,LICEO POLIVALENTE JUVENAL HERNANDEZ JAQUE,15M
DE Ã‘UBLE,PEMUCO,PEMUCO,LICEO POLIVALENTE TOMAS ARNALDO HERRERA VEGA,7V
DE Ã‘UBLE,PINTO,PINTO,COLEGIO FRANCISCO DE ASIS,2V
DE Ã‘UBLE,PINTO,PINTO,COLEGIO FRANCISCO DE ASIS,9V
DE Ã‘UBLE,PINTO,PINTO,COLEGIO FRANCISCO DE ASIS,11V
DE Ã‘UBLE,QUILLON,CERRO NEGRO,ESCUELA BASICA EL CASINO,2V
DE Ã‘UBLE,QUILLON,QUILLON,ESCUELA BASICA HEROES DEL ITATA,9M
DE Ã‘UBLE,QUILLON,QUILLON,ESCUELA BASICA HEROES DEL ITATA,16M
DE Ã‘UBLE,QUILLON,QUILLON,ESCUELA BASICA HEROES DEL ITATA,17M
DE Ã‘UBLE,YUNGAY,YUNGAY,ESCUELA FERNANDO BAQUEDANO,14V
DE Ã‘UBLE,COBQUECURA,BUCHUPUREO,ESCUELA BASICA BUCHUPUREO,2
DE Ã‘UBLE,COELEMU,COELEMU,LICEO DOMINGO ORTIZ DE ROZAS,19V
DE Ã‘UBLE,NINHUE,NINHUE,ESCUELA GLORIAS NAVALES,1M
DE Ã‘UBLE,QUIRIHUE,QUIRIHUE,LICEO BICENTENARIO POLIVALENTE CARLOS MONTANE CASTRO,17V
DE Ã‘UBLE,QUIRIHUE,QUIRIHUE,LICEO BICENTENARIO POLIVALENTE CARLOS MONTANE CASTRO,20V
DE Ã‘UBLE,RANQUIL,RANQUIL (ÑIPAS),ESCUELA BASICA ÑIPAS,2M
DE Ã‘UBLE,SAN CARLOS,CACHAPOAL,ESCUELA CACHAPOAL,5V
DE Ã‘UBLE,SAN CARLOS,SAN CARLOS,COLEGIO SAGRADO CORAZON DE JESUS,33M
DE Ã‘UBLE,SAN CARLOS,SAN CARLOS,COLEGIO SAGRADO CORAZON DE JESUS,41M
DE Ã‘UBLE,SAN CARLOS,SAN CARLOS,ESCUELA GENERAL JOSE MIGUEL CARRERA VERDUGO,57M
DE Ã‘UBLE,SAN CARLOS,SAN CARLOS,LICEO POLITECNICO CAPITAN IGNACIO CARRERA PINTO,14M
DE Ã‘UBLE,SAN CARLOS,SAN CARLOS,LICEO POLIVALENTE NUESTRA SEÑORA DE LA MERCED,15V
DE Ã‘UBLE,SAN CARLOS,SAN CARLOS,LICEO POLIVALENTE NUESTRA SEÑORA DE LA MERCED,17V
DE Ã‘UBLE,SAN NICOLAS,SAN NICOLAS,"LICEO BICENTENARIO DE EXCELENCIA POLIVALENTE SAN NICOLAS, CAMPUS SERGIO MARTIN ALAMOS",1M
DE Ã‘UBLE,SAN NICOLAS,SAN NICOLAS,"LICEO BICENTENARIO DE EXCELENCIA POLIVALENTE SAN NICOLAS, CAMPUS SERGIO MARTIN ALAMOS",2M
DEL BIOBIO,CAÑETE,CAÑETE,LICEO HUMANISTA CIENTIFICO JOSE DE LA CRUZ MIRANDA CORREA,26V
DEL BIOBIO,CURANILAHUE,CURANILAHUE,ESCUELA PABLO NERUDA,7M
DEL BIOBIO,CURANILAHUE,CURANILAHUE,LICEO POLIVALENTE MARIANO LATORRE,31M
DEL BIOBIO,CURANILAHUE,CURANILAHUE,LICEO POLIVALENTE MARIANO LATORRE,5V
