re,co,cc,lo,me
DE VALPARAISO,SAN ANTONIO,SAN ANTONIO,LICEO GABRIELA MISTRAL,61M
DE VALPARAISO,SAN ANTONIO,SAN ANTONIO,LICEO GABRIELA MISTRAL,62M
DE VALPARAISO,SAN ANTONIO,SAN ANTONIO,LICEO JUAN DANTE PARRAGUEZ ARELLANO,64M
DE VALPARAISO,SAN ANTONIO,SAN ANTONIO,LICEO NACIONAL DE LLO LLEO,93M
DE VALPARAISO,CONCON,CONCON,COLEGIO ALBORADA DEL MAR,70
DE VALPARAISO,CONCON,CONCON,COLEGIO ALBORADA DEL MAR,71
DE VALPARAISO,VALPARAISO,BARON,ESCUELA A-19 HERNAN OLGUIN,63M
DE VALPARAISO,VALPARAISO,BARON,LICEO COEDUCACIONAL LA IGUALDAD,33M
DE VALPARAISO,VALPARAISO,EL PUERTO,COLEGIO SEMINARIO SAN RAFAEL,153M
DE VALPARAISO,VALPARAISO,EL PUERTO,ESCUELA GRECIA (D-251),75M
DE VALPARAISO,VALPARAISO,EL PUERTO,LICEO TECNICO DE VALPARAISO,104M
DE VALPARAISO,VALPARAISO,EL PUERTO,LICEO TECNICO DE VALPARAISO,116M
DE VALPARAISO,VALPARAISO,PLAYA ANCHA,INSTITUTO TECNICO PROFESIONAL MARITIMO DE VALPARAISO ,32V
DE VALPARAISO,VIÑA DEL MAR,SAUSALITO,COLEGIO MARIA AUXILIADORA,163
DE VALPARAISO,VIÑA DEL MAR,SAUSALITO,ESCUELA BASICA HUMBERTO VILCHES ALZAMORA,63M
METROPOLITANA DE SANTIAGO,COLINA,CHICUREO,ESCUELA BASICA ALGARROBAL,2V
METROPOLITANA DE SANTIAGO,COLINA,COLINA,COLEGIO MUNICIPAL INSTITUTO CHACABUCO LOCAL: 2,50M
METROPOLITANA DE SANTIAGO,COLINA,COLINA,ESCUELA BASICA MARCOS GOYCOOLEA CORTES,4M
METROPOLITANA DE SANTIAGO,COLINA,COLINA,ESCUELA DE LENGUAJE CAMINA ALTO,125
METROPOLITANA DE SANTIAGO,COLINA,COLINA,ESCUELA DE LENGUAJE CAMINA ALTO,128
METROPOLITANA DE SANTIAGO,COLINA,COLINA,ESCUELA PREMIO NOBEL PABLO NERUDA,24V
METROPOLITANA DE SANTIAGO,COLINA,COLINA,ESCUELA PREMIO NOBEL PABLO NERUDA,37V
METROPOLITANA DE SANTIAGO,COLINA,COLINA,LICEO BICENTENARIO PROVINCIAL SANTA TERESA DE LOS ANDES,110
METROPOLITANA DE SANTIAGO,COLINA,COLINA,LICEO BICENTENARIO PROVINCIAL SANTA TERESA DE LOS ANDES,116
METROPOLITANA DE SANTIAGO,COLINA,COLINA,LICEO POLIVALENTE RIGOBERTO FONTT ,10V
METROPOLITANA DE SANTIAGO,LAMPA,BATUCO,LICEO MUNICIPAL DE BATUCO,15
METROPOLITANA DE SANTIAGO,LAMPA,LAMPA,COMPLEJO EDUCACIONAL MANUEL PLAZA REYES LOCAL: 1,9M
METROPOLITANA DE SANTIAGO,LAMPA,LAMPA,ESCUELA BASICA PARTICULAR JERUSALEN,76
METROPOLITANA DE SANTIAGO,LAMPA,LAMPA,NORMA GONZALEZ GUERRA,54
METROPOLITANA DE SANTIAGO,TILTIL,HUERTOS FAMILIARES,LICEO HUERTOS FAMILIARES,4
METROPOLITANA DE SANTIAGO,PIRQUE,EL PRINCIPAL,LICEO EL PRINCIPAL,4
METROPOLITANA DE SANTIAGO,PIRQUE,EL PRINCIPAL,LICEO EL PRINCIPAL,11
METROPOLITANA DE SANTIAGO,PIRQUE,PIRQUE,COLEGIO COLONIAL DE PIRQUE,25
METROPOLITANA DE SANTIAGO,PIRQUE,PIRQUE,LICEO MUNICIPAL TECNICO PROFESIONAL EL LLANO LOCAL: 1,13M
METROPOLITANA DE SANTIAGO,PUENTE ALTO,BAJOS DE MENA,ESCUELA LAS PALMAS,43
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,CENTRO EDUCACIONAL NUEVA CREACION LOCAL: 1,76V
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,CENTRO EDUCACIONAL SAN CARLOS DE ARAGON LOCAL: 1 ,244M
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,CENTRO EDUCACIONAL SAN CARLOS DE ARAGON LOCAL: 1 ,246M
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,CENTRO EDUCACIONAL SAN CARLOS DE ARAGON LOCAL: 2,273M
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,COLEGIO ALICANTE DEL SOL LOCAL: 2,306
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,COLEGIO ALICANTE DEL SOL LOCAL: 2,318
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,COLEGIO ALICANTE DEL SOL LOCAL: 2,319
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,COLEGIO ALICANTE DEL SOL LOCAL: 3,330
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,COLEGIO MAIPO LOCAL: 1,181V
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,COLEGIO MAIPO LOCAL: 2,203V
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,COLEGIO PARTICULAR ALTAZOR LOCAL: 2,375
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,COLEGIO PARTICULAR SAN JOSE DE PUENTE ALTO LOCAL: 2,198M
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,COLEGIO PARTICULAR SAN JOSE DE PUENTE ALTO LOCAL: 2,204M
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,COLEGIO POLIVALENTE DOMINGO MATTE MESIAS LOCAL: 2,162M
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,ESCUELA CONSOLIDADA LOCAL: 1,49V
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,ESCUELA CONSOLIDADA LOCAL: 2,55V
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,ESCUELA LOS ANDES LOCAL: 2,18M
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,ESCUELA LOS ANDES LOCAL: 2,21M
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,ESCUELA LOS ANDES LOCAL: 2,24M
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,ESCUELA NONATO COO LOCAL: 1,30M
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,ESCUELA NONATO COO LOCAL: 1,39M
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,ESCUELA NONATO COO LOCAL: 1,46M
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,ESCUELA NONATO COO LOCAL: 2,48M
