ts,circelec,idservel,mex,padron,vt1v,c1v
2021-11-26 16:48:54.045109,7025,120,False,7727,2942,38.074
2021-11-26 16:48:54.045109,7025,121,False,6784,3163,46.624
2021-11-26 16:48:54.045109,7025,122,False,6780,3579,52.788
2021-11-26 16:48:54.045109,7025,123,False,6949,3883,55.879
2021-11-26 16:48:54.045109,7360,1008,False,4687,1880,40.111
2021-11-26 16:48:54.045109,7761,1473,False,504,123,24.405
2021-11-26 16:48:54.045109,7202,2257,False,6769,4034,59.595
2021-11-26 16:48:54.045109,7202,2232,False,6779,4275,63.062
2021-11-26 16:48:54.045109,7202,2233,False,6791,4886,71.948
2021-11-26 16:48:54.045109,7202,2234,False,5125,2929,57.151
2021-11-26 16:48:54.045109,7202,2235,False,6101,3663,60.039
2021-11-26 16:48:54.045109,7202,2236,False,6072,3796,62.516
2021-11-26 16:48:54.045109,7202,2237,False,6067,4143,68.287
2021-11-26 16:48:54.045109,7202,2253,False,6059,4253,70.193
2021-11-26 16:48:54.045109,7202,2238,False,6736,5058,75.089
2021-11-26 16:48:54.045109,7202,2256,False,6721,5482,81.565
2021-11-26 16:48:54.045109,7202,2239,False,5738,3105,54.113
2021-11-26 16:48:54.045109,7202,2240,False,5777,3925,67.942
2021-11-26 16:48:54.045109,7202,2241,False,6751,4087,60.539
2021-11-26 16:48:54.045109,7202,2254,False,6096,3265,53.56
2021-11-26 16:48:54.045109,7202,2255,False,6119,3537,57.804
2021-11-26 16:48:54.045109,7202,2242,False,6066,4471,73.706
2021-11-26 16:48:54.045109,7202,2243,False,6421,4036,62.856
2021-11-26 16:48:54.045109,7202,2244,False,6433,4042,62.832
2021-11-26 16:48:54.045109,7202,2249,False,7422,4437,59.782
2021-11-26 16:48:54.045109,7202,2250,False,7432,4522,60.845
2021-11-26 16:48:54.045109,7202,2251,False,6059,2971,49.034
2021-11-26 16:48:54.045109,7202,2252,False,6129,3640,59.39
2021-11-26 16:48:54.045109,7202,2245,False,6412,4255,66.36
2021-11-26 16:48:54.045109,7202,2246,False,6377,4408,69.123
2021-11-26 16:48:54.045109,7202,2247,False,5757,3531,61.334
2021-11-26 16:48:54.045109,7202,2248,False,5773,3398,58.86
2021-11-26 16:48:54.045109,7376,1039,False,2534,1027,40.529
2021-11-26 16:48:54.045109,7376,1040,False,3307,1364,41.246
2021-11-26 16:48:54.045109,7376,1041,False,2781,1311,47.141
2021-11-26 16:48:54.045109,7376,1042,False,3779,1742,46.097
2021-11-26 16:48:54.045109,7376,1043,False,4684,2179,46.52
2021-11-26 16:48:54.045109,7376,1044,False,3192,1622,50.815
2021-11-26 16:48:54.045109,7001,2674,False,1341,671,50.037
2021-11-26 16:48:54.045109,7001,2675,False,5119,2209,43.153
2021-11-26 16:48:54.045109,7001,2676,False,3433,1405,40.926
2021-11-26 16:48:54.045109,7001,2677,False,4229,1840,43.509
2021-11-26 16:48:54.045109,7001,2678,False,3728,1709,45.842
2021-11-26 16:48:54.045109,7001,2679,False,2219,895,40.333
2021-11-26 16:48:54.045109,7001,2695,False,2238,939,41.957
2021-11-26 16:48:54.045109,7001,2680,False,3523,1354,38.433
2021-11-26 16:48:54.045109,7001,2682,False,8082,3745,46.338
2021-11-26 16:48:54.045109,7001,2683,False,5000,2213,44.26
2021-11-26 16:48:54.045109,7001,2684,False,3638,1454,39.967
2021-11-26 16:48:54.045109,7001,2685,False,4781,2530,52.918
2021-11-26 16:48:54.045109,7001,2686,False,3706,1486,40.097
2021-11-26 16:48:54.045109,7001,2687,False,3979,1776,44.634
2021-11-26 16:48:54.045109,7001,2688,False,1758,865,49.204
2021-11-26 16:48:54.045109,7001,2689,False,1637,744,45.449
2021-11-26 16:48:54.045109,7001,2690,False,2714,1068,39.352
2021-11-26 16:48:54.045109,7001,2691,False,2093,882,42.14
2021-11-26 16:48:54.045109,7001,2692,False,9896,4661,47.1
2021-11-26 16:48:54.045109,7001,2693,False,5117,2115,41.333
2021-11-26 16:48:54.045109,7001,2694,False,3451,1599,46.334
2021-11-26 16:48:54.045109,7001,2696,False,3370,1497,44.421
2021-11-26 16:48:54.045109,7660,2704,False,4064,1919,47.219
2021-11-26 16:48:54.045109,7660,2705,False,5089,2297,45.137
2021-11-26 16:48:54.045109,7660,2706,False,5088,2378,46.737
2021-11-26 16:48:54.045109,7660,2714,False,3383,1592,47.059
2021-11-26 16:48:54.045109,7660,2707,False,8484,3896,45.922
2021-11-26 16:48:54.045109,7660,2708,False,3393,1601,47.185
2021-11-26 16:48:54.045109,7660,2709,False,2710,1318,48.635
2021-11-26 16:48:54.045109,7660,2710,False,3382,1652,48.847
