ts,circelec,idservel,mex,tM,iM,pM,cM
2021-12-05 05:30:33.692920,7335,858,False,23,23,0,100.0
2021-12-05 05:30:33.692920,7335,859,False,22,22,0,100.0
2021-12-05 05:30:33.692920,7335,860,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7335,861,False,16,16,0,100.0
2021-12-05 05:30:33.692920,7335,862,False,10,10,0,100.0
2021-12-05 05:30:33.692920,7335,863,False,10,10,0,100.0
2021-12-05 05:30:33.692920,7335,864,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7335,865,False,14,14,0,100.0
2021-12-05 05:30:33.692920,7335,866,False,17,17,0,100.0
2021-12-05 05:30:33.692920,7382,1102,False,16,16,0,100.0
2021-12-05 05:30:33.692920,7382,1103,False,16,16,0,100.0
2021-12-05 05:30:33.692920,7382,1104,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7382,1105,False,16,16,0,100.0
2021-12-05 05:30:33.692920,7382,1106,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7382,1108,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7382,1109,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7382,1107,False,14,14,0,100.0
2021-12-05 05:30:33.692920,7382,1110,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7514,1557,False,1,1,0,100.0
2021-12-05 05:30:33.692920,7670,1085,False,9,9,0,100.0
2021-12-05 05:30:33.692920,7583,2654,False,3,3,0,100.0
2021-12-05 05:30:33.692920,7023,84,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7023,85,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7023,86,False,22,22,0,100.0
2021-12-05 05:30:33.692920,7023,87,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7023,88,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7023,89,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7023,90,False,18,18,0,100.0
2021-12-05 05:30:33.692920,7023,91,False,22,22,0,100.0
2021-12-05 05:30:33.692920,7023,92,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7023,93,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7023,94,False,22,22,0,100.0
2021-12-05 05:30:33.692920,7023,95,False,22,22,0,100.0
2021-12-05 05:30:33.692920,7023,97,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7023,96,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7023,98,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7023,99,False,23,23,0,100.0
2021-12-05 05:30:33.692920,7023,100,False,23,23,0,100.0
2021-12-05 05:30:33.692920,7023,101,False,23,23,0,100.0
2021-12-05 05:30:33.692920,7023,102,False,22,22,0,100.0
2021-12-05 05:30:33.692920,7023,103,False,22,22,0,100.0
2021-12-05 05:30:33.692920,7023,104,False,22,22,0,100.0
2021-12-05 05:30:33.692920,7025,124,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7025,105,False,23,23,0,100.0
2021-12-05 05:30:33.692920,7025,106,False,20,20,0,100.0
