ts,idservel,c1,c2,c3,c4,c5,c6,c7,vv,vn,vb,vt,me,tm,cm,w1V
2021-11-26 16:43:19.306967,2683,1516,3501,1537,938,93,588,1306,9479,87,74,9640,76,76,100.0,Kast
2021-11-26 16:43:19.306967,2636,1644,4182,1414,1186,56,518,1077,10077,87,66,10230,79,79,100.0,Kast
2021-11-26 16:43:19.306967,2700,580,2144,880,326,32,169,427,4558,81,98,4737,40,40,100.0,Kast
2021-11-26 16:43:19.306967,2659,1027,3497,1073,477,78,380,1267,7799,80,63,7942,58,58,100.0,Kast
2021-11-26 16:43:19.306967,2549,7177,7144,3240,3590,330,2268,5369,29118,279,122,29519,166,166,100.0,Boric
2021-11-26 16:43:19.306967,2661,9448,29438,6438,8842,615,3254,11658,69693,498,344,70535,556,556,100.0,Kast
2021-11-26 16:43:19.306967,2813,1476,2851,1055,698,60,396,1091,7627,72,60,7759,62,62,100.0,Kast
2021-11-26 16:43:19.306967,2712,796,3214,858,715,37,245,759,6624,69,124,6817,49,49,100.0,Kast
2021-11-26 16:43:19.306967,2701,386,1881,462,310,28,130,277,3474,48,49,3571,26,26,100.0,Kast
2021-11-26 16:43:19.306967,2534,2142,1431,1331,801,150,659,1345,7859,75,42,7976,57,57,100.0,Boric
2021-11-26 16:43:19.306967,2647,3893,6204,3074,1290,232,1838,4586,21117,283,142,21542,147,147,100.0,Kast
2021-11-26 16:43:19.306967,2702,556,2443,454,227,52,175,241,4148,42,51,4241,35,35,100.0,Kast
2021-11-26 16:43:19.306967,2586,5093,5586,1848,3171,172,1619,2884,20373,165,93,20631,114,114,100.0,Kast
2021-11-26 16:43:19.306967,2775,19448,11868,5998,8391,963,4314,3103,54085,350,139,54574,370,370,100.0,Boric
2021-11-26 16:43:19.306967,2814,479,1292,423,283,29,187,647,3340,38,39,3417,24,24,100.0,Kast
2021-11-26 16:43:19.306967,2776,75642,42676,19369,25976,4162,20920,17660,206405,1426,600,208431,1186,1186,100.0,Boric
2021-11-26 16:43:19.306967,2587,1064,1691,794,682,43,414,686,5374,63,25,5462,43,43,100.0,Kast
2021-11-26 16:43:19.306967,2599,669,755,595,605,33,171,240,3068,15,21,3104,22,22,100.0,Kast
2021-11-26 16:43:19.306967,2516,265,212,148,73,34,118,964,1814,58,8,1880,23,23,100.0,Parisi
2021-11-26 16:43:19.306967,2803,1507,1503,750,793,52,419,485,5509,30,32,5571,35,35,100.0,Boric
2021-11-26 16:43:19.306967,2815,1520,2346,1226,667,72,391,1543,7765,71,61,7897,64,64,100.0,Kast
2021-11-26 16:43:19.306967,2616,2117,3418,1525,1544,94,968,2339,12005,109,82,12196,78,78,100.0,Kast
2021-11-26 16:43:19.306967,2714,882,2197,941,496,50,208,715,5489,45,60,5594,58,58,100.0,Kast
2021-11-26 16:43:19.306967,2509,747,589,350,200,52,270,1656,3864,30,15,3909,30,30,100.0,Parisi
2021-11-26 16:43:19.306967,2684,362,944,328,199,26,95,247,2201,29,20,2250,23,23,100.0,Kast
2021-11-26 16:43:19.306967,2800,10619,12241,4809,5548,590,2810,4324,40941,335,190,41466,286,286,100.0,Kast
2021-11-26 16:43:19.306967,2628,3961,4884,3244,2253,185,1647,2641,18815,198,118,19131,119,119,100.0,Kast
2021-11-26 16:43:19.306967,2538,1972,1896,1837,794,185,748,2596,10028,115,80,10223,102,102,100.0,Parisi
2021-11-26 16:43:19.306967,2588,2657,2281,1117,1063,128,856,1594,9696,104,53,9853,64,64,100.0,Boric
2021-11-26 16:43:19.306967,2665,1351,3762,1613,822,86,465,1830,9929,104,117,10150,79,79,100.0,Kast
2021-11-26 16:43:19.306967,2666,1367,3693,1264,836,91,477,2874,10602,84,72,10758,72,72,100.0,Kast
2021-11-26 16:43:19.306967,2606,1332,1661,1276,1064,60,395,1006,6794,44,43,6881,45,45,100.0,Kast
2021-11-26 16:43:19.306967,2756,2437,2039,1253,573,91,714,997,8104,105,72,8281,69,69,100.0,Boric
2021-11-26 16:43:19.306967,2600,807,761,622,527,53,217,204,3191,27,28,3246,21,21,100.0,Boric
2021-11-26 16:43:19.306967,2667,350,1545,508,399,25,217,661,3705,49,44,3798,30,30,100.0,Kast
2021-11-26 16:43:19.306967,2838,253,824,695,325,15,105,191,2408,24,22,2454,21,21,100.0,Kast
2021-11-26 16:43:19.306967,2562,2325,1501,1094,925,130,899,2388,9262,60,55,9377,66,66,100.0,Parisi
2021-11-26 16:43:19.306967,2685,2196,4697,2301,1191,178,1011,1647,13221,164,102,13487,91,91,100.0,Kast
2021-11-26 16:43:19.306967,2844,531,2000,632,610,35,301,518,4627,46,58,4731,34,34,100.0,Kast
2021-11-26 16:43:19.306967,2777,48160,29426,12316,23111,1822,4561,2750,122146,601,276,123023,616,616,100.0,Boric
2021-11-26 16:43:19.306967,2743,75,142,47,26,3,5,16,314,5,6,325,3,3,100.0,Kast
2021-11-26 16:43:19.306967,2589,1324,1701,718,835,46,493,1076,6193,55,32,6280,42,42,100.0,Kast
2021-11-26 16:43:19.306967,2513,29,53,25,12,3,27,220,369,2,1,372,6,6,100.0,Parisi
2021-11-26 16:43:19.306967,2577,1925,2624,760,1000,101,561,893,7864,69,44,7977,49,49,100.0,Kast
2021-11-26 16:43:19.306967,2726,14256,21365,9974,7727,838,3308,9893,67361,496,238,68095,459,459,100.0,Kast
2021-11-26 16:43:19.306967,2536,8759,7746,5571,3740,420,2765,7672,36673,310,192,37175,273,273,100.0,Boric
2021-11-26 16:43:19.306967,2808,7120,5178,2626,2775,418,3123,3527,24767,195,87,25049,136,136,100.0,Boric
2021-11-26 16:43:19.306967,2686,4409,9271,2982,2511,265,1852,4368,25658,260,185,26103,175,175,100.0,Kast
2021-11-26 16:43:19.306967,2530,576,488,289,274,37,146,277,2087,17,14,2118,16,16,100.0,Boric
2021-11-26 16:43:19.306967,2816,1428,3333,1171,802,94,333,1226,8387,81,73,8541,66,66,100.0,Kast
2021-11-26 16:43:19.306967,2799,7020,8429,2699,2743,266,2099,3212,26468,208,125,26801,166,166,100.0,Kast
2021-11-26 16:43:19.306967,2736,160,307,157,81,7,20,57,789,8,14,811,7,7,100.0,Kast
2021-11-26 16:43:19.306967,2607,819,1127,1231,671,39,275,469,4631,32,40,4703,31,31,100.0,Provoste
2021-11-26 16:43:19.306967,2817,2368,4899,1954,1329,169,896,1835,13450,204,164,13818,108,108,100.0,Kast
2021-11-26 16:43:19.306967,2572,714,870,389,331,28,229,711,3272,33,25,3330,20,20,100.0,Kast
2021-11-26 16:43:19.306967,2555,869,904,497,658,34,195,458,3615,14,10,3639,22,22,100.0,Kast
2021-11-26 16:43:19.306967,2601,634,752,708,523,24,155,217,3013,28,53,3094,24,24,100.0,Kast
2021-11-26 16:43:19.306967,2637,2752,6504,2394,2552,109,829,1551,16691,156,108,16955,128,128,100.0,Kast
2021-11-26 16:43:19.306967,2778,17002,7566,5047,4532,1400,5661,3541,44749,396,288,45433,337,337,100.0,Boric
2021-11-26 16:43:19.306967,2617,549,1127,595,528,29,248,561,3637,41,15,3693,26,26,100.0,Kast
2021-11-26 16:43:19.306967,2624,692,1813,531,499,34,179,274,4022,66,36,4124,26,26,100.0,Kast
2021-11-26 16:43:19.306967,2830,424,1364,574,423,20,172,390,3367,29,13,3409,29,29,100.0,Kast
2021-11-26 16:43:19.306967,2618,634,1686,936,656,24,269,584,4789,168,42,4999,37,37,100.0,Kast
2021-11-26 16:43:19.306967,2648,4384,4823,3466,1798,299,1652,4424,20846,176,110,21132,125,125,100.0,Kast
2021-11-26 16:43:19.306967,2809,10886,7694,4238,4229,599,4264,5103,37013,290,132,37435,215,215,100.0,Boric
2021-11-26 16:43:19.306967,2779,30779,19456,11182,14942,1664,9789,7119,94931,685,342,95958,582,582,100.0,Boric
2021-11-26 16:43:19.306967,2608,915,1092,921,772,40,273,392,4405,21,17,4443,30,30,100.0,Kast
2021-11-26 16:43:19.306967,2687,383,1252,458,174,36,186,456,2945,39,22,3006,21,21,100.0,Kast
2021-11-26 16:43:19.306967,2556,1175,671,712,361,54,374,742,4089,48,30,4167,30,30,100.0,Boric
2021-11-26 16:43:19.306967,2590,1500,1260,985,770,84,505,791,5895,67,68,6030,39,39,100.0,Boric
2021-11-26 16:43:19.306967,2507,403,758,305,203,27,100,743,2539,16,10,2565,21,22,95.455,Kast
2021-11-26 16:43:19.306967,2591,1541,1614,1232,1138,83,464,745,6817,48,90,6955,50,50,100.0,Kast
2021-11-26 16:43:19.306967,2596,2210,1996,1173,1577,118,560,733,8367,78,55,8500,49,49,100.0,Boric
2021-11-26 16:43:19.306967,2831,578,2626,457,726,34,256,446,5123,38,38,5199,37,37,100.0,Kast
2021-11-26 16:43:19.306967,2791,3587,3614,1504,1992,151,1025,849,12722,85,44,12851,80,80,100.0,Kast
2021-11-26 16:43:19.306967,2688,1573,4487,1243,974,82,572,1077,10008,77,46,10131,69,69,100.0,Kast
2021-11-26 16:43:19.306967,2609,643,977,722,580,47,282,636,3887,42,33,3962,25,25,100.0,Kast
2021-11-26 16:43:19.306967,2839,308,1068,574,371,23,116,207,2667,29,22,2718,23,23,100.0,Kast
2021-11-26 16:43:19.306967,2753,761,581,304,166,18,193,245,2268,39,19,2326,20,20,100.0,Boric
2021-11-26 16:43:19.306967,2503,544,1260,664,229,58,276,2049,5080,46,29,5155,47,47,100.0,Parisi
2021-11-26 16:43:19.306967,2754,63,66,43,31,4,46,51,304,7,2,313,4,4,100.0,Kast
2021-11-26 16:43:19.306967,2780,29002,30223,10313,22196,833,2063,1302,95932,416,196,96544,508,508,100.0,Kast
2021-11-26 16:43:19.306967,2545,2319,1920,907,1357,126,793,1357,8779,64,27,8870,65,65,100.0,Boric
2021-11-26 16:43:19.306967,2689,2900,4593,1089,1595,136,595,1352,12260,93,57,12410,86,86,100.0,Kast
2021-11-26 16:43:19.306967,2781,26745,15263,8275,8815,2028,10562,8610,80298,646,262,81206,510,510,100.0,Boric
2021-11-26 16:43:19.306967,2790,68957,33904,18243,23315,4075,22299,19351,190144,1748,546,192438,1276,1276,100.0,Boric
2021-11-26 16:43:19.306967,2707,18811,28790,9339,9459,1222,5524,14478,87623,650,498,88771,573,573,100.0,Kast
2021-11-26 16:43:19.306967,2727,651,1248,956,318,42,201,645,4061,29,27,4117,30,30,100.0,Kast
